SS-A	
18231	196.1
17715	201.36
16981	207.94
17669	197.21
17455	199.5
17128	208.42
16533	212.25
18754	189.01
18674	187.41
17221	203.77
17484	196.27
18493	194.98
17728	204.74
17532	199.11
18031	196.48
17883	193.69
18628	184.06
17202	205.13
16742	210.53
17595	192.87
	
17683.95	199.0415
9491.4	342.07
8192.55	143.0285
