SS-E	
54489	824.36
54485	799.59
51861	857.03
53634	920.88
54540	792.39
53942	888.87
49519	860.01
54691	808.49
55725	803.82
49609	887.94
55471	842.9
54673	838.89
53027	895.41
55087	865.8
54479	824.38
42877	863.05
56222	821.53
71997	27969
46966	853.63
50915	811.7
	
53710.45	2201.4835
55855	791.55
2144.55	1409.9335
