SS-F	
55495	82624
56964	72319
54006	89234
21921	1464.6
28562	638.08
58581	59230
51244	80453
55320	91290
28919	741.02
21188	1713.5
58279	88542
58616	84497
21614	1450.2
28016	890.11
64455	65922
38501	72876
26632	824.51
53112	69276
18902	1623.2
22139	1764.9
	
41123.3	43368.656
21202	45261
19921.3	1892.344
