SS-G	
52611	82576
35943	70293
25312	911.97
43144	77076
19028	1818.2
24009	1028
38675	84330
60713	73693
19653	1953.2
26336	855.8
41319	90593
20226	1784.3
35978	85576
46742	78749
25389	812.2
46272	83169
63734	71418
18378	1747.9
20157	1979.7
48918	93904
	
35626.85	45213.4135
20186	46405
15,440.85	1,191.59
