SS-I	
12605	159.36
12798	149.21
11645	171.71
14244	140.87
11801	170.98
14095	141.07
12741	156.58
12621	161.8
12535	160.22
9574.4	206.54
12879	71.95
12835	153.19
11524	170.12
11445	180.03
13810	147.99
12534	154.19
13623	150.31
12422	160.17
13963	139.24
11218	179.02
	
12545.62	156.2275
14748	65.825
2,202.38	89.78
